product_id;name;category;gender;fabric;season;base_price;current_price;cost;popularity;description;location;url_image
PRD-00001;Women's T-Shirt Cotton;T-Shirt;F;Cotton;Winter;88.99;88.99;42.79;0.33;T-Shirt made of cotton. Perfect for winter.;Front display;https://static.zara.net/assets/public/2730/6800/b4c746a587ee/851855d12eb4/04174660250-000-e1/04174660250-000-e1.jpg?ts=1761670352394&w=453
PRD-00002;Women's T-Shirt Wool;T-Shirt;F;Wool;Summer;91.99;91.99;37.17;0.5;T-Shirt made of wool. Perfect for summer.;Main aisle;https://static.zara.net/assets/public/2b41/5fda/0a9a4066a00f/ea9d98a2bc2f/03039453712-e1/03039453712-e1.jpg?ts=1758271030901&w=750
PRD-00003;Men's T-Shirt Polyester;T-Shirt;M;Polyester;All seasons;60.99;60.99;26.13;0.22;T-Shirt made of polyester. Perfect for all seasons.;Back wall;https://static.zara.net/assets/public/c8ab/6fd4/612c439cb1e1/0da2e07f82d4/05372366250-e1/05372366250-e1.jpg?ts=1764933682273&w=358
PRD-00004;Men's T-Shirt Cotton;T-Shirt;M;Cotton;Winter;46.0;46.0;19.28;0.39;T-Shirt made of cotton. Perfect for winter.;Front display;https://static.zara.net/assets/public/9b49/97fa/b4b248009c46/152b6385ccfc/05584390250-e1/05584390250-e1.jpg?ts=1756720751402&w=358
PRD-00005;Women's Sweater Wool;Sweater;F;Wool;Summer;70.99;70.99;38.72;0.51;Sweater made of wool. Perfect for summer.;Main aisle;https://static.zara.net/assets/public/60a7/f246/4c9c4c3086d4/0cb9a0ed1804/02756157800-e1/02756157800-e1.jpg?ts=1764666932034&w=750
PRD-00006;Women's Sweater Polyester;Sweater;F;Polyester;All seasons;105.99;105.99;51.0;0.67;Sweater made of polyester. Perfect for all seasons.;Back wall;https://static.zara.net/assets/public/1878/8adc/46484af986e6/31a0f7452c4a/02142161644-060-e1/02142161644-060-e1.jpg?ts=1761561416820&w=750
PRD-00007;Men's Sweater Cotton;Sweater;M;Cotton;Winter;80.0;80.0;37.82;0.62;Sweater made of cotton. Perfect for winter.;Front display;https://static.zara.net/assets/public/f20e/2f79/65874ecaad47/74b5592294c1/03284331722-e1/03284331722-e1.jpg?ts=1759746894678&w=358
PRD-00008;Men's Sweater Wool;Sweater;M;Wool;Summer;51.0;51.0;23.2;0.44;Sweater made of wool. Perfect for summer.;Main aisle;https://static.zara.net/assets/public/1d2d/10d7/ce984593ac35/28b0e7216cfd/02893354737-e1/02893354737-e1.jpg?ts=1764844041972&w=358
PRD-00009;Women's Pants Polyester;Pants;F;Polyester;All seasons;115.0;115.0;51.92;0.37;Pants made of polyester. Perfect for all seasons.;Back wall;https://static.zara.net/assets/public/72fa/4a41/abf94d84b300/8e60761a5ddc/09790869700-e1/09790869700-e1.jpg?ts=1763486973958&w=750
PRD-00010;Women's Pants Cotton;Pants;F;Cotton;Winter;86.0;86.0;43.18;0.45;Pants made of cotton. Perfect for winter.;Front display;https://static.zara.net/assets/public/94f3/1430/97c34d66bc23/5f16291d7b64/09649926803-e1/09649926803-e1.jpg?ts=1762866685714&w=750
PRD-00011;Men's Pants Wool;Pants;M;Wool;Summer;97.0;97.0;49.37;0.26;Pants made of wool. Perfect for summer.;Main aisle;https://static.zara.net/assets/public/9668/2c14/5ed341bdbb7b/1d62525303e1/05854180800-e1/05854180800-e1.jpg?ts=1760364389760&w=358
PRD-00012;Men's Pants Polyester;Pants;M;Polyester;All seasons;53.99;53.99;29.23;0.49;Pants made of polyester. Perfect for all seasons.;Back wall;https://static.zara.net/assets/public/c6e6/f52a/721c40ed8688/1149e55cdd91/00761440803-000-e1/00761440803-000-e1.jpg?ts=1754985841318&w=358
PRD-00013;Women's Coat Cotton;Coat;F;Cotton;Winter;21.99;21.99;11.76;0.42;Coat made of cotton. Perfect for winter.;Front display;https://static.zara.net/assets/public/8e1a/e1b6/007746f6a3ad/9a7b78bdf456/03811244751-e1/03811244751-e1.jpg?ts=1754996157708&w=750
PRD-00014;Women's Coat Wool;Coat;F;Wool;Summer;115.99;115.99;64.76;0.46;Coat made of wool. Perfect for summer.;Main aisle;https://static.zara.net/assets/public/1c66/1086/fd4a46b8a659/355d6d147bb0/08471107800-e1/08471107800-e1.jpg?ts=1759475177884&w=750
PRD-00015;Men's Coat Polyester;Coat;M;Polyester;All seasons;20.0;20.0;8.03;0.58;Coat made of polyester. Perfect for all seasons.;Back wall;https://static.zara.net/assets/public/1a9d/28ad/bf2c47b2a05a/96894f5fe1e9/08281104800-e1/08281104800-e1.jpg?ts=1764775833277&w=358
PRD-00016;Men's Coat Cotton;Coat;M;Cotton;Winter;61.0;61.0;27.5;0.31;Coat made of cotton. Perfect for winter.;Front display;https://static.zara.net/assets/public/e705/5ca9/783544b0a8bf/942e5c1fac7e/04192031706-e1/04192031706-e1.jpg?ts=1765287405431&w=358